,ID,ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICAC,CP,OTROS_CP,CONTROL,Geometry1_,geometry,POBTOT,P_18YMAS,TVIVHAB
0,452,16,54,GUSTAVO DIAZ ORDAZ,1,58040,,663,1=X<z3f,"POLYGON ((-101.206644414725 19.69501330757069, -101.2060558700919 19.69423885584588, -101.2059138217846 19.69405703098408, -101.2053988871248 19.69402840545073, -101.2047550864365 19.69398365615236, -101.2042569192469 19.69395976554834, -101.2037517121948 19.69392596788677, -101.2032533073505 19.69389343819532, -101.2034359445144 19.6924595325081, -101.2036039311069 19.69109015690682, -101.2037909975184 19.69116941131424, -101.2041019269335 19.69122777590276, -101.2045811869205 19.69127822688783, -101.2050722978853 19.69134395805871, -101.2057302334067 19.69143590852807, -101.206406609398 19.69153306654603, -101.2070955103959 19.69163253429056, -101.2069158501642 19.69294828702608, -101.2067608131132 19.69409040672504, -101.206644414725 19.69501330757069))",1616,1287,509
1,453,16,54,FELICITAS DEL RIO,1,58040,,664,1=X<z3,"POLYGON ((-101.2027923971097 19.69501727735435, -101.2027283603176 19.69497693459589, -101.2024745239721 19.69477934980969, -101.2018603615269 19.69435575840753, -101.2011715384424 19.69396459832904, -101.2007956024916 19.69376300491805, -101.2003075253326 19.693561477647, -101.200249775158 19.69355722431503, -101.2001990191993 19.69353597269165, -101.1996785061923 19.69331408517208, -101.1989820584319 19.69307794685065, -101.1985630904357 19.69296319668432, -101.1985282885124 19.69295366481398, -101.1969931929236 19.69257166398371, -101.1955539461218 19.69218921770181, -101.1953868039829 19.69214266190184, -101.1953834910455 19.69205634076451, -101.1953858562058 19.69199764205449, -101.1953965665764 19.69177134984656, -101.1954144142591 19.69116958284262, -101.1954426939437 19.69021608931611, -101.195461915473 19.68956801070651, -101.1954764858536 19.6890767543382, -101.1954924369512 19.68853894831941, -101.1955494948749 19.68854051254672, -101.1955788849618 19.68854131826079, -101.1964898878071 19.68856628017785, -101.1970900037308 19.68858976918005, -101.1971125547423 19.68804022405903, -101.1978813989364 19.68806512047746, -101.1984791297743 19.68808471608406, -101.1991644499284 19.68811669225596, -101.1996934735582 19.68812826583734, -101.1996904023552 19.68817445716656, -101.1998505518002 19.68864839726211, -101.1997960604537 19.68870121297872, -101.1998097110633 19.6891124182211, -101.2001895774639 19.68974907367904, -101.2003859455828 19.68999018207224, -101.20038198568 19.69020956264878, -101.2009560516561 19.69019887103577, -101.2015942234607 19.69054215197575, -101.2020091658714 19.69085482901452, -101.2022438132389 19.69088586081818, -101.2029137138162 19.6909964896538, -101.2036039314323 19.69109015617211, -101.2034359448397 19.69245953177379, -101.2032533076756 19.69389343746142, -101.2031859856959 19.69431100950633, -101.2030355542392 19.69464355339933, -101.2028718571961 19.69488895496812, -101.2028526079306 19.69491781187963, -101.2027923971097 19.69501727735435))",4857,4002,1314
2,454,16,54,MILITAR MORELIA,3,58260,,669,1=X<z3p,"POLYGON ((-101.1630678750573 19.69585714872155, -101.1625274152879 19.69580509034283, -101.1626126818473 19.69458066313294, -101.1626474341132 19.69404143500275, -101.1632318891888 19.69410295859181, -101.1631635148449 19.69480718016667, -101.1630678750573 19.69585714872155))",167,115,51
3,455,16,54,CINCO DE DICIEMBRE,1,58280,,670,1=X<z3x,"POLYGON ((-101.1636839492831 19.68853281295729, -101.1626706529523 19.68835467182962, -101.1622357481407 19.68831079357475, -101.1618850999867 19.68826589929341, -101.1613504812353 19.68823137134829, -101.1604247536586 19.68812998955941, -101.1591876011111 19.68796068270878, -101.1589931991085 19.68763867327094, -101.158835205128 19.68742060342307, -101.1587342853945 19.68699063994953, -101.1587247702308 19.68694078805347, -101.1586986799445 19.68680869897624, -101.1586228343322 19.68640592718129, -101.158604276256 19.68632102891343, -101.1585146128782 19.6857934612645, -101.1593761432983 19.68558318108877, -101.1594446035709 19.68576514587969, -101.1595607624694 19.68609565359031, -101.1597777013088 19.68636722585418, -101.1602136908965 19.68668907389395, -101.1606827090734 19.68682292460766, -101.1607200162633 19.68733235856213, -101.1609323114657 19.68725764937464, -101.1613145790241 19.68660366723528, -101.1623267468738 19.68520613427145, -101.1626914963408 19.68513920706008, -101.162812023885 19.68506192785174, -101.1628979348174 19.68500684384783, -101.1630204179384 19.68467346319646, -101.1634279948339 19.68401436239883, -101.163852581104 19.68373071676656, -101.1650039760525 19.6840238428088, -101.1655746942607 19.68416913497335, -101.1660223157538 19.68410181389262, -101.1660532653938 19.68419016206893, -101.1660728833994 19.68424617626432, -101.1661073836482 19.6843446505949, -101.1666458790696 19.68449439322436, -101.1665842585986 19.68458624691726, -101.1665514237871 19.68463521261848, -101.166309499425 19.68493917869826, -101.1658971317922 19.68545742549533, -101.1655591045584 19.68589344605958, -101.1653890439062 19.68610277222845, -101.1652064117093 19.68635088608716, -101.1648719754358 19.6867762407806, -101.1646256676979 19.68710923514814, -101.1641402281864 19.68767727398124, -101.1637513634102 19.6881892852032, -101.1636839492831 19.68853281295729))",645,554,241
4,456,16,54,POBLADO DE OCOLUSEN,1,58270,,671,1=X<z0,"POLYGON ((-101.1588844944359 19.69550819626838, -101.1585948990036 19.69548281950243, -101.1574929455204 19.69538619947183, -101.157341248634 19.69537289804118, -101.1568616872669 19.69533084718624, -101.1563162371955 19.6952830141805, -101.1561950905301 19.69527246694668, -101.1557280576312 19.69523199367153, -101.1554118431444 19.6952045983573, -101.1550338020138 19.69517184592647, -101.1549664815338 19.69516601338173, -101.1545676980921 19.69513146285475, -101.1545468567671 19.69512965714096, -101.1542425905913 19.69510329492478, -101.1538159025704 19.695066324948, -101.1535621833334 19.69504434119264, -101.1524881024376 19.69495135486125, -101.1516398982026 19.69488076489954, -101.1507786453134 19.69480908478551, -101.1493292126022 19.69468843883891, -101.1495377302936 19.69452822885182, -101.1496418335623 19.69382855825757, -101.1501258826106 19.69182762437691, -101.1502136108451 19.69156456097232, -101.1507733554498 19.69175913908069, -101.1510952362451 19.69187591860188, -101.1515663509833 19.69206976685264, -101.1531312843661 19.69286278881702, -101.1538279902502 19.69317328714644, -101.1544199426215 19.6933756340117, -101.1549684280484 19.69356537582208, -101.1553393474883 19.69368793931904, -101.1561699716366 19.69397434524626, -101.15743896138 19.69441234258695, -101.1589912944541 19.69501286984945, -101.1588844944359 19.69550819626838))",1237,970,389
5,457,16,54,LA RINCONADA,2,58270,,672,1=X<z0,"POLYGON ((-101.1592642660248 19.69402778148653, -101.1574419779293 19.6933247355603, -101.1574274704374 19.69277276342221, -101.1576439727629 19.6916208536745, -101.1594606107947 19.6913967154801, -101.1596181029575 19.69214617781946, -101.1596650585297 19.69270151555639, -101.1594997373556 19.69327760559949, -101.1592642660248 19.69402778148653))",135,116,49
6,458,16,54,LAS AMERICAS,2,58270,,673,1=X<z0,"POLYGON ((-101.1589912944541 19.69501286984945, -101.15743896138 19.69441234258695, -101.1561699716366 19.69397434524626, -101.1553393474883 19.69368793931904, -101.1549684280484 19.69356537582208, -101.1544199426215 19.6933756340117, -101.1538279902502 19.69317328714644, -101.1531312843661 19.69286278881702, -101.1515663509833 19.69206976685264, -101.1510952362451 19.69187591860188, -101.1507733554498 19.69175913908069, -101.1502136108451 19.69156456097232, -101.1504236270623 19.69096048832822, -101.1507287529096 19.69008284325744, -101.1509720070882 19.68967548644398, -101.1520775055744 19.68848002022616, -101.1530720630757 19.68749872230571, -101.1534340112523 19.68736085847456, -101.1535261569483 19.6873286977721, -101.1536712915341 19.6873031366738, -101.1539436362711 19.68729833262243, -101.1550948766836 19.68743053135874, -101.1564544440057 19.68757597864801, -101.1569970670844 19.68765080289255, -101.1579231724328 19.68781765218754, -101.1581736050294 19.68786370679084, -101.1591876011111 19.68796068270878, -101.1590606834676 19.6880343916021, -101.1589657383683 19.68831883067028, -101.1590731995133 19.68917811886794, -101.1591765507931 19.68994124228001, -101.1592444200278 19.6902463536539, -101.1594606107947 19.6913967154801, -101.1576439727629 19.6916208536745, -101.1574274704374 19.69277276342221, -101.1574419779293 19.6933247355603, -101.1592642660248 19.69402778148653, -101.1591343014459 19.69453564687684, -101.1589912944541 19.69501286984945))",1419,1226,480
7,459,16,54,COLINAS DEL SUR,1,58095,,674,1=X<zA/,"POLYGON ((-101.1994233809053 19.67064247102468, -101.1994142284637 19.67061885621295, -101.1992847622107 19.67028481097494, -101.199273896515 19.66973029282915, -101.199270973274 19.6695811061809, -101.1992097387209 19.66942461838667, -101.1991163918783 19.66885303579102, -101.1990495153161 19.66846007656388, -101.1989678379951 19.66808932933962, -101.1988271888343 19.66770351596099, -101.198701938205 19.6673676983367, -101.1985346164023 19.6669682709534, -101.1984161268064 19.66669649480571, -101.198211974229 19.6661859967479, -101.1980924528788 19.66580540024651, -101.19797189326 19.66543958437624, -101.1978226170451 19.66495008714881, -101.1977987896459 19.66485752377777, -101.1976846988442 19.66452915548034, -101.1975415920703 19.66409425372393, -101.1973921555818 19.66366059282105, -101.197278055264 19.6633050645059, -101.1971534903048 19.66287813301237, -101.1972579122077 19.66247273724417, -101.1973356202037 19.66218400350212, -101.1974493255269 19.661964553309, -101.1975461328645 19.66181694294351, -101.1977253047251 19.66157498114821, -101.1982769190582 19.66086914637086, -101.1987256118179 19.66068730289759, -101.1995688340792 19.66031884486627, -101.1997461955777 19.66078120202076, -101.1999765892003 19.66156191934628, -101.2002648594115 19.66287029072978, -101.2006074027678 19.66405401176522, -101.2008391104145 19.66477195253478, -101.2008882242523 19.66492180389371, -101.2010324410983 19.6653618222973, -101.2012180843454 19.66613912370008, -101.2012432976357 19.66636108430962, -101.2011703157963 19.66756840555332, -101.2011367778196 19.66805427449445, -101.2010886478866 19.66875153779101, -101.2010185863298 19.67021220319306, -101.2006700124981 19.67012801130831, -101.200243081966 19.67031414298901, -101.1998480467365 19.67047415490734, -101.1994233809053 19.67064247102468))",3660,2650,1024
8,460,16,54,CLUB DE GOLF TRES MARIAS,23,58270,,675,1=X<z4,"POLYGON ((-101.1080452703236 19.72609411653235, -101.106977936536 19.72585177324387, -101.106996636009 19.72568813351047, -101.1070153354606 19.72552449377583, -101.1068598354595 19.72536266044207, -101.1065775021241 19.72511632710825, -101.1062321687882 19.72483616044085, -101.1059745021197 19.72455599377357, -101.1057846687848 19.72421766043948, -101.1056901687841 19.72406432710574, -101.105623002117 19.72390116043866, -101.1054903354493 19.72337816043741, -101.1054187182168 19.72278152953578, -101.1045224106895 19.7215614521395, -101.1043565806068 19.7213357171153, -101.1039606687713 19.72086949376477, -101.1036663354356 19.72033099376352, -101.1028347089641 19.7193508703536, -101.1027860020957 19.71844149375899, -101.1019841687566 19.71838999375894, -101.1022718354251 19.71722649375606, -101.1024793354265 19.71635666042058, -101.1023650020923 19.71602199375301, -101.1021810020909 19.71553766041864, -101.1020438354233 19.71530449375131, -101.101434668752 19.71488016041712, -101.1011260020833 19.71469882708333, -101.1009086687483 19.71456632708304, -101.10021933541 19.71414799374875, -101.0992846687364 19.71302832707946, -101.0990866687352 19.71262066041183, -101.0984665020639 19.71223316041095, -101.0976783353914 19.71147166040915, -101.0974103353895 19.71112149374165, -101.0972195020547 19.71067132707395, -101.0971071687206 19.71055549374035, -101.0966828353842 19.70999599373902, -101.0964305020489 19.70975532707178, -101.0963493353819 19.70951416040453, -101.0962635020478 19.70934249373743, -101.095897002045 19.70808549373444, -101.095632502043 19.70706249373197, -101.0956068353761 19.70675849373118, -101.0956106687094 19.70666616039764, -101.0955935020428 19.70647282706384, -101.0951338353727 19.70606416039626, -101.0950108353689 19.70605482710574, -101.0948878353712 19.70604549372958, -101.0945123353683 19.70572482706218, -101.0943713353672 19.70542916039475, -101.0943266687002 19.70518516039422, -101.0943476687003 19.70491832706021, -101.0943506687002 19.70471732705968, -101.0945478353683 19.70423266039183, -101.0951246687057 19.70388782705755, -101.0950377514161 19.70327056266673, -101.095159225334 19.70322373014217, -101.0992618136173 19.69936189991967, -101.1000101671808 19.69824348488005, -101.0998300988177 19.69741963259843, -101.0994778345391 19.69692685147339, -101.0994634278056 19.69689671369762, -101.0991238875453 19.69618658551498, -101.0989441077666 19.69540397886747, -101.0991939795095 19.69558499492263, -101.0998743136424 19.69543634897606, -101.1019385751099 19.69465152714673, -101.1027932997919 19.6943625275956, -101.1034869136927 19.69388227004434, -101.104226272739 19.69353142785555, -101.1048028027072 19.69284853148732, -101.1052954846938 19.6922847923901, -101.1057712659497 19.69256913169662, -101.1061593731239 19.69319596919704, -101.1075836068585 19.69375003249897, -101.1084005886961 19.69391095250935, -101.1087982310582 19.69407026545834, -101.1097144879037 19.69459050541559, -101.1112810736253 19.69504035206239, -101.1110191688194 19.69535582703449, -101.1107474469301 19.69592636650733, -101.1130301688359 19.69678591037145, -101.1128482151498 19.69721377922493, -101.1117956688256 19.69968882704503, -101.1124756688306 19.69994332704559, -101.1134883355048 19.6999596603788, -101.1138147521612 19.70005066039369, -101.1140060021523 19.70017374372691, -101.1143851574433 19.70060788074472, -101.1148443355151 19.70116016038158, -101.1150911688505 19.70195682705013, -101.1159347521427 19.70362712823428, -101.1169728556503 19.70548510270701, -101.1166966990465 19.70563385347321, -101.1164205419019 19.70578260385879, -101.1148576334526 19.70798663600068, -101.1141866801567 19.70853871633689, -101.1135539811042 19.7091349475884, -101.1133891419047 19.70949372241248, -101.1134149228739 19.70953351338581, -101.1136839475298 19.70994873103113, -101.1146092178275 19.71058551630587, -101.1151983986066 19.71169366531764, -101.1154991340131 19.71411887276307, -101.1158475169874 19.71497967397832, -101.1160203396055 19.71571898765469, -101.1163326033403 19.7179651027939, -101.1163904036607 19.72070330827053, -101.1160640746459 19.72162278897738, -101.1160107655981 19.72270023164736, -101.1159395649271 19.7230279612143, -101.1157770028006 19.72333065870045, -101.1155764437995 19.72363699012423, -101.1153387955933 19.72392835248174, -101.1146261940201 19.72449967161588, -101.1141400661537 19.72477735307411, -101.1133485107835 19.72501393238811, -101.1129612644525 19.72503348028921, -101.1125008896185 19.72500769503616, -101.1118395861864 19.72495984894763, -101.1111073749611 19.72485990891735, -101.1106309177033 19.72489245117072, -101.1102079623885 19.72501435541731, -101.1092395571427 19.7259565028487, -101.1080452703236 19.72609411653235))",1635,1152,478
9,461,16,54,TERRAZAS DEL CAMPESTRE,2,58295,,676,1=X<z0,"POLYGON ((-101.1575651461343 19.68715631582668, -101.1572754893983 19.68683082946047, -101.1571599357519 19.68653849671327, -101.1571550573415 19.68617434054654, -101.1572997907855 19.68586713055313, -101.1584918147969 19.68565610886882, -101.1585146128782 19.6857934612645, -101.158604276256 19.68632102891343, -101.1586228343322 19.68640592718129, -101.1586986799445 19.68680869897624, -101.1587247702308 19.68694078805347, -101.1587342853945 19.68699063994953, -101.1575651461343 19.68715631582668))",107,84,36
